event_date,mapped_trading_date
2016-01-29,2016-04-22
2016-03-15,2016-04-22
2016-04-28,2016-04-28
2016-06-16,2016-06-16
2016-07-29,2016-07-29
2016-09-21,2016-09-21
2016-11-01,2016-11-01
2016-12-20,2016-12-20
2017-01-31,2017-01-31
2017-03-16,2017-03-16
2017-04-27,2017-04-27
2017-06-16,2017-06-16
2017-07-20,2017-07-20
2017-09-21,2017-09-21
2017-10-31,2017-10-31
2017-12-21,2017-12-21
2018-01-23,2018-01-23
2018-03-09,2018-03-09
2018-04-27,2018-04-27
2018-06-15,2018-06-15
2018-07-31,2018-07-31
2018-09-19,2018-09-19
2018-10-31,2018-10-31
2018-12-20,2018-12-20
2019-01-23,2019-01-23
2019-03-15,2019-03-15
2019-04-25,2019-04-25
2019-06-20,2019-06-20
2019-07-30,2019-07-30
2019-09-19,2019-09-19
2019-10-31,2019-10-31
2019-12-19,2019-12-19
2020-01-21,2020-01-22
2020-03-16,2020-03-16
2020-04-27,2020-04-27
2020-06-16,2020-06-16
2020-07-15,2020-07-15
2020-09-17,2020-09-17
2020-10-29,2020-10-29
2020-12-18,2020-12-18
2021-01-21,2021-01-21
2021-03-19,2021-03-19
2021-04-27,2021-04-27
2021-06-18,2021-06-18
2021-07-16,2021-07-16
2021-09-22,2021-09-22
2021-10-28,2021-10-28
2021-12-17,2021-12-17
2022-01-18,2022-01-19
2022-03-18,2022-03-18
2022-04-28,2022-04-28
2022-06-17,2022-06-17
2022-07-21,2022-07-21
2022-09-22,2022-09-22
2022-10-28,2022-10-28
2022-12-20,2022-12-20
2023-01-18,2023-01-18
2023-03-10,2023-03-10
2023-04-28,2023-04-28
2023-06-16,2023-06-16
2023-07-28,2023-07-28
2023-09-22,2023-09-22
2023-10-31,2023-10-31
2023-12-19,2023-12-19
2024-01-23,2024-01-23
2024-03-19,2024-03-19
2024-04-26,2024-04-26
2024-06-14,2024-06-14
2024-07-31,2024-07-31
2024-09-20,2024-09-20
2024-10-31,2024-10-31
2024-12-19,2024-12-19
2025-01-24,2025-01-24
2025-03-19,2025-03-19
2025-05-01,2025-05-05
2025-06-17,2025-06-17
2025-07-31,2025-07-31
2025-09-19,2025-09-19
2025-10-30,2025-10-30
2025-12-19,2025-12-19
2026-01-23,2026-01-23
2026-03-19,2026-03-19
