event_date,source
2016-01-29,BOJ release page or curated fallback
2016-03-15,BOJ release page or curated fallback
2016-04-28,BOJ release page or curated fallback
2016-06-16,BOJ release page or curated fallback
2016-07-29,BOJ release page or curated fallback
2016-09-21,BOJ release page or curated fallback
2016-11-01,BOJ release page or curated fallback
2016-12-20,BOJ release page or curated fallback
2017-01-31,BOJ release page or curated fallback
2017-03-16,BOJ release page or curated fallback
2017-04-27,BOJ release page or curated fallback
2017-06-16,BOJ release page or curated fallback
2017-07-20,BOJ release page or curated fallback
2017-09-21,BOJ release page or curated fallback
2017-10-31,BOJ release page or curated fallback
2017-12-21,BOJ release page or curated fallback
2018-01-23,BOJ release page or curated fallback
2018-03-09,BOJ release page or curated fallback
2018-04-27,BOJ release page or curated fallback
2018-06-15,BOJ release page or curated fallback
2018-07-31,BOJ release page or curated fallback
2018-09-19,BOJ release page or curated fallback
2018-10-31,BOJ release page or curated fallback
2018-12-20,BOJ release page or curated fallback
2019-01-23,BOJ release page or curated fallback
2019-03-15,BOJ release page or curated fallback
2019-04-25,BOJ release page or curated fallback
2019-06-20,BOJ release page or curated fallback
2019-07-30,BOJ release page or curated fallback
2019-09-19,BOJ release page or curated fallback
2019-10-31,BOJ release page or curated fallback
2019-12-19,BOJ release page or curated fallback
2020-01-21,BOJ release page or curated fallback
2020-03-16,BOJ release page or curated fallback
2020-04-27,BOJ release page or curated fallback
2020-06-16,BOJ release page or curated fallback
2020-07-15,BOJ release page or curated fallback
2020-09-17,BOJ release page or curated fallback
2020-10-29,BOJ release page or curated fallback
2020-12-18,BOJ release page or curated fallback
2021-01-21,BOJ release page or curated fallback
2021-03-19,BOJ release page or curated fallback
2021-04-27,BOJ release page or curated fallback
2021-06-18,BOJ release page or curated fallback
2021-07-16,BOJ release page or curated fallback
2021-09-22,BOJ release page or curated fallback
2021-10-28,BOJ release page or curated fallback
2021-12-17,BOJ release page or curated fallback
2022-01-18,BOJ release page or curated fallback
2022-03-18,BOJ release page or curated fallback
2022-04-28,BOJ release page or curated fallback
2022-06-17,BOJ release page or curated fallback
2022-07-21,BOJ release page or curated fallback
2022-09-22,BOJ release page or curated fallback
2022-10-28,BOJ release page or curated fallback
2022-12-20,BOJ release page or curated fallback
2023-01-18,BOJ release page or curated fallback
2023-03-10,BOJ release page or curated fallback
2023-04-28,BOJ release page or curated fallback
2023-06-16,BOJ release page or curated fallback
2023-07-28,BOJ release page or curated fallback
2023-09-22,BOJ release page or curated fallback
2023-10-31,BOJ release page or curated fallback
2023-12-19,BOJ release page or curated fallback
2024-01-23,BOJ release page or curated fallback
2024-03-19,BOJ release page or curated fallback
2024-04-26,BOJ release page or curated fallback
2024-06-14,BOJ release page or curated fallback
2024-07-31,BOJ release page or curated fallback
2024-09-20,BOJ release page or curated fallback
2024-10-31,BOJ release page or curated fallback
2024-12-19,BOJ release page or curated fallback
2025-01-24,BOJ release page or curated fallback
2025-03-19,BOJ release page or curated fallback
2025-05-01,BOJ release page or curated fallback
2025-06-17,BOJ release page or curated fallback
2025-07-31,BOJ release page or curated fallback
2025-09-19,BOJ release page or curated fallback
2025-10-30,BOJ release page or curated fallback
2025-12-19,BOJ release page or curated fallback
2026-01-23,BOJ release page or curated fallback
2026-03-19,BOJ release page or curated fallback
