Interest Rate (April 2026),,,,,,,,,,,,,,,(Unit : %)
Date,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y,40Y
2026/4/1,1.092,1.349,1.472,1.637,1.755,1.861,1.957,2.086,2.205,2.315,2.858,3.213,3.515,3.564,3.628
2026/4/2,1.113,1.39,1.52,1.697,1.823,1.932,2.029,2.159,2.28,2.395,2.918,3.271,3.568,3.614,3.675
2026/4/3,1.115,1.391,1.521,1.698,1.818,1.924,2.025,2.155,2.276,2.386,2.918,3.271,3.567,3.611,3.674
2026/4/6,1.12,1.402,1.542,1.723,1.85,1.96,2.065,2.195,2.314,2.429,2.976,3.326,3.628,3.672,3.747
2026/4/7,1.111,1.387,1.519,1.705,1.831,1.939,2.049,2.179,2.3,2.411,2.966,3.326,3.631,3.667,3.739
2026/4/8,1.113,1.382,1.513,1.687,1.812,1.912,2.013,2.14,2.262,2.374,2.92,3.272,3.585,3.615,3.678
2026/4/9,1.123,1.394,1.522,1.701,1.831,1.935,2.037,2.161,2.283,2.397,2.941,3.289,3.593,3.619,3.678
2026/4/10,1.124,1.405,1.544,1.729,1.866,1.967,2.078,2.204,2.326,2.439,2.982,3.326,3.625,3.638,3.682
2026/4/13,1.119,1.401,1.54,1.734,1.876,1.987,2.101,2.232,2.354,2.467,3.023,3.377,3.673,3.698,3.719
2026/4/14,1.096,1.382,1.515,1.706,1.842,1.949,2.057,2.189,2.313,2.423,2.967,3.296,3.604,3.633,3.655
2026/4/15,1.098,1.382,1.516,1.704,1.838,1.95,2.053,2.184,2.306,2.414,2.943,3.271,3.576,3.606,3.632
2026/4/16,1.084,1.366,1.512,1.694,1.83,1.942,2.045,2.177,2.297,2.409,2.944,3.282,3.592,3.623,3.657
2026/4/17,1.085,1.372,1.522,1.709,1.843,1.956,2.063,2.196,2.316,2.428,2.95,3.292,3.597,3.622,3.646
2026/4/20,1.085,1.369,1.514,1.692,1.825,1.938,2.042,2.175,2.294,2.405,2.921,3.263,3.566,3.586,3.604
2026/4/21,1.077,1.359,1.505,1.682,1.816,1.926,2.028,2.157,2.277,2.392,2.906,3.251,3.556,3.581,3.599
,,,,,,,,,,,,,,,
"  ¦If you cannot download the latest csv data, please clear the browser's cache and download again.",,,,,,,,,,,,,,,
