year,value,country,country_name,ma3
1982,0.0214131807712311,CHN,China,0.0214131807712311
1983,0.0402370493162039,CHN,China,0.030825115043717502
1984,0.0514508255169766,CHN,China,0.0377003518681372
1985,0.202860935288891,CHN,China,0.09818293670735716
1986,0.149347775896568,CHN,China,0.13455317890081187
1987,0.235870483187248,CHN,China,0.19602639812423564
1988,0.271661931818182,CHN,China,0.21896006363399934
1989,0.223893085415456,CHN,China,0.24380850014029534
1990,0.229560646444134,CHN,China,0.241705221225924
1991,0.237444780230983,CHN,China,0.23029950403019098
1992,0.93348378493237,CHN,China,0.46682973720249565
1993,0.985315901584882,CHN,China,0.718748155582745
1994,0.352777525367257,CHN,China,0.7571924039615031
1995,0.270932628703605,CHN,China,0.5363420185519147
1996,0.243401466682177,CHN,China,0.28903720691767965
1997,0.389045322592708,CHN,China,0.30112647265949666
1998,0.436491271256023,CHN,China,0.35631268684363593
1999,0.365631639251512,CHN,China,0.39705607770008094
2000,0.376872846411855,CHN,China,0.3929985856397966
2001,0.715552633025224,CHN,China,0.48601903956286363
2002,0.421798782655239,CHN,China,0.5047414206974393
2003,0.502171572092667,CHN,China,0.5465076625910433
2004,0.401805038340901,CHN,China,0.44192513102960235
2005,0.592416932233762,CHN,China,0.49879784755577666
2006,0.857324433478769,CHN,China,0.6171821346844774
2007,0.4759859598775,CHN,China,0.6419091085300103
2008,1.2157288444061,CHN,China,0.8496797459207897
2009,0.845733374735046,CHN,China,0.8458160596728819
2010,0.935857767198173,CHN,China,0.9991066621131064
2011,0.631154502779283,CHN,China,0.8042485482375006
2012,0.748972766092931,CHN,China,0.7719950120234622
2013,0.748947440588956,CHN,China,0.70969156982039
2014,1.15348889141033,CHN,China,0.8838030326974056
2015,1.54590501792777,CHN,China,1.1494471166423519
2016,1.8891760278129,CHN,China,1.5295233123836667
2017,1.10302784708842,CHN,China,1.5127029642763634
2018,1.01094815237317,CHN,China,1.3343840090914967
2019,0.940305142431585,CHN,China,1.0180937139643915
2020,1.02505043291814,CHN,China,0.9921012425742982
2021,0.982313479294658,CHN,China,0.9825563515481276
2022,1.1467645106016,CHN,China,1.0513761409381324
2023,1.23516227448843,CHN,China,1.1214134214615625
2024,0.918936853713498,CHN,China,1.100287879601176
1982,0.349933687067141,DEU,Germany,0.349933687067141
1983,0.380529051340222,DEU,Germany,0.3652313692036815
