check,metric,value
equal_weight_fragility_interaction,LR p-value,0.8022322219542654
equal_weight_fragility_stvar,gamma,10.000000000000002
equal_weight_fragility_stvar,threshold_c,0.36644056834791083
equal_weight_fragility_stvar,h0_high_minus_low_fx_ret,-0.17633155965902692
equal_weight_fragility_stvar,h0_high_minus_low_jpy_2y_change,0.7811788769730388
equal_weight_fragility_stvar,h0_high_minus_low_jpy_10y_change,0.44139737360722364
equal_weight_fragility_stvar,h0_high_minus_low_eq_ret,-2.7341887809540224
event_dummy_linear_var,h0_response_fx_ret,0.010847044594483842
event_dummy_linear_var,h0_response_jpy_2y_change,0.3025039067583676
event_dummy_linear_var,h0_response_jpy_10y_change,0.061233379818200234
event_dummy_linear_var,h0_response_eq_ret,0.07991562857821274
