horizon,fx_ret,jpy_2y_change,jpy_10y_change,eq_ret
0,3.166735253498713,10.02985260917146,11.475474735399247,1.4346976994415093
1,0.05592070826250716,0.8836516100271333,1.2392183057833361,-0.5483354771383547
2,-0.03307782849501712,-0.13944788788823587,-0.06424578123549826,0.08755412458250891
3,0.005927114377921521,0.013666840097005892,0.018144906397646487,0.00018113253902321547
4,-0.0001525484516178323,0.0007334040354430721,0.002074974580246025,-0.0004414797589814834
5,-2.11137295843232e-05,-0.00018118541129418658,9.956012053558005e-06,0.00018403627361483765
6,1.1127326490459333e-05,3.4490723046141925e-05,5.439546818433727e-05,-3.3386729050149944e-06
7,-4.972623372356128e-07,3.9481342094943583e-08,4.34609047526846e-06,5.61585886307836e-07
8,4.583992935583425e-08,-1.0020054899695374e-07,4.531960293846504e-07,3.555810593192099e-07
9,1.911752673354472e-08,7.217136849257955e-08,1.476291977692279e-07,-2.7724492562830605e-09
10,-6.846122141412891e-10,-7.896308260035845e-10,1.2541224475581814e-08,4.024752017772748e-09
11,2.494434554745073e-10,3.7147918074964537e-10,2.115965597182523e-09,7.137932883649611e-10
12,3.4047438479678505e-11,1.4347293839089836e-10,4.0582195937055587e-10,2.5863838848394494e-11
13,5.45636452686793e-13,1.2040299313120784e-12,4.269459785710694e-11,1.4078155308183682e-11
14,7.917243249888628e-13,1.923208120535591e-12,7.619377351275602e-12,1.6794760027138977e-12
15,7.447514827063628e-14,3.0636257419836e-13,1.1798617638447695e-12,1.6522894163983892e-13
16,7.419412306752804e-15,1.765254609153999e-14,1.488809076022335e-13,4.2618686357798197e-14
17,2.237793284010081e-15,6.4427629897778615e-15,2.5174307083375425e-14,4.7878367936959876e-15
18,2.1337098754514727e-16,7.73686670285656e-16,3.635980405647388e-15,6.800116025829084e-16
19,3.2959746043559335e-17,8.673617379884035e-17,4.996003610813204e-16,1.249000902703301e-16
20,5.204170427930421e-18,2.0816681711721685e-17,8.326672684688674e-17,1.3877787807814457e-17
21,1.734723475976807e-18,3.469446951953614e-18,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
