horizon,fx_ret,jpy_2y_change,jpy_10y_change,eq_ret
0,3.5469049666091794,0.3184837837935586,-2.236712442823878,-0.4152371578796197
1,-0.0021943931608627773,0.8533712388410482,1.9086769361302363,-0.7726851859901169
2,-0.06049641483116955,-0.16405960131578318,-0.07548470455246269,0.10654791718047962
3,0.006853204858394468,0.015032499788320278,0.02671551414728604,-0.00171960443829609
4,-0.00042577961166896314,0.00022726850630533368,0.0011699613856273328,-0.0001534200134387018
5,4.364714391955071e-06,-0.0001467069585408612,0.0001394285987938726,0.00014479398020485635
6,6.6888003390983e-06,2.7308499741689196e-05,3.8356345461468266e-05,1.7492569136094184e-06
7,-1.1229464112055831e-09,7.951355338840782e-07,6.621210360088781e-06,-1.218127098959708e-07
8,-2.8221109338311123e-08,-2.1776923336824794e-07,1.618054369656452e-07,4.4647086123506853e-07
9,2.832909541151951e-08,8.637388566878901e-08,1.8736011381248474e-07,-1.489848880007437e-08
10,-1.9667247969090695e-09,-2.806031081103999e-09,7.322854558844405e-09,5.637937199563792e-09
11,4.155890458157341e-10,6.296643345615749e-10,2.817569719204549e-09,4.98676664848971e-10
12,1.1518539594357335e-11,1.0819939041950555e-10,3.1290016411222865e-10,5.4506267554987886e-11
13,3.5137136256135904e-12,5.829232929688288e-12,5.512003353747019e-11,1.0261069121123012e-11
14,3.935081427375309e-13,1.3007754595673049e-12,5.967906724357874e-12,2.1878883253723114e-12
15,1.2729053922022615e-13,3.887550004133544e-13,1.4002132786572474e-12,9.748755622207561e-14
16,3.625572064791527e-16,6.63358257213531e-15,1.1955714196432154e-13,5.1642934720264044e-14
17,3.1780134079895106e-15,7.913808497406194e-15,2.90878432451791e-14,3.585456584409563e-15
18,8.847089727481716e-17,5.793976409762536e-16,3.1086244689504383e-15,8.40473524110763e-16
19,5.0306980803327406e-17,1.0061396160665481e-16,5.689893001203927e-16,1.0321604682062002e-16
20,5.204170427930421e-18,6.938893903907228e-18,6.938893903907228e-17,1.691355389077387e-17
21,1.734723475976807e-18,3.469446951953614e-18,0.0,-4.336808689942018e-19
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
